Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NLD,77.98780488,78.1902439,78.29268293,78.49268293,79.09512195,79.34634146,79.69756098,80.09756098,80.25121951,80.54878049,80.70243902,81.20487805,81.10487805,81.30487805,81.70731707,81.5097561,81.56097561,81.76097561,81.81219512,82.11219512,81.35853659,81.3097561,81.71463415
NOR,78.63414634,78.78536585,78.98780488,79.3902439,79.84146341,80.04146341,80.34390244,80.39512195,80.59268293,80.79512195,80.99756098,81.29512195,81.45121951,81.75121951,82.1,82.30487805,82.40731707,82.6097561,82.75853659,82.95853659,83.2097561,83.16341463,82.56097561
NPL,62.614,63.336,63.264,64.197,64.818,65.457,65.868,66.329,66.421,66.761,66.814,67.313,67.47,67.965,68.085,67.456,68.776,68.91,68.979,69.558,69.246,68.45,70.484
NRU,58.732,58.278,58.181,58.095,58.072,58.161,58.379,58.53,58.833,59.123,59.64,60.24,60.715,61.231,61.807,62.269,62.702,62.988,63.234,63.484,63.437,63.617,64.014
NZL,78.63658537,78.69268293,78.84634146,79.14634146,79.54878049,79.85121951,80.04878049,80.15121951,80.35121951,80.70243902,80.90487805,81.15609756,81.40731707,81.40487805,81.45682927,81.61243902,81.65853659,81.85853659,81.70731707,82.05609756,82.25609756,82.20731707,82.76097561
OED,76.90936468,77.19721437,77.37338872,77.50069327,77.89459554,78.00883972,78.29537551,78.50362269,78.6542065,78.91658708,79.08864726,79.31562007,79.47041009,79.66706471,79.91536027,79.7910327,79.90440367,79.93155332,80.00975208,80.22130909,78.89523801,78.66387166,79.62812981
OMN,73.466,73.808,73.869,74.14,74.329,74.396,74.48,74.461,74.612,74.681,76.269,76.608,77.061,77.246,77.446,77.687,77.916,77.924,77.966,78.002,74.757,72.541,73.935
OSS,66.87553077,67.10242438,67.25028897,67.46446702,67.75469032,68.07336515,68.39392784,68.82005882,69.24971801,69.72286578,70.29383982,70.67175641,71.09098091,71.55707058,71.91996152,72.28693216,72.6256409,73.02487012,73.23931799,73.45446724,73.16758089,72.38749194,72.8992436
PAK,62.102,62.421,62.626,62.843,63.052,62.466,63.731,63.852,64.036,64.14,64.436,64.648,64.782,65.15,65.284,65.697,65.88,66.297,66.482,66.756,66.269,66.098,66.431
PAN,74.001,74.414,74.824,75.218,75.544,75.829,76.012,76.154,76.225,76.343,76.448,76.627,76.819,77.038,77.248,77.468,77.653,77.795,77.863,77.81,76.657,76.223,76.826
PER,70.424,71.041,71.661,72.217,72.668,72.986,73.172,73.223,73.377,73.466,73.711,74.133,74.544,74.967,75.333,75.621,75.789,75.879,76.009,76.156,73.665,72.377,73.385
PHL,69.413,69.614,69.781,69.924,70.037,70.24,70.282,70.483,70.564,70.633,70.754,70.788,70.881,70.835,71.151,71.268,71.387,71.516,71.689,71.865,72.119,69.266,72.187
PNG,61.72,61.773,61.698,61.797,61.761,61.801,61.917,62.034,62.571,62.788,63.039,63.526,63.733,63.961,64.259,64.701,64.84,65.103,65.182,65.474,65.787,65.351,65.958
POL,73.74878049,74.2,74.49756098,74.59756098,74.84634146,74.99512195,75.14390244,75.24390244,75.54390244,75.69512195,76.24634146,76.69512195,76.74634146,77,77.60243902,77.45121951,77.85121951,77.75365854,77.60243902,77.90487805,76.5,75.50243902,77.30487805
PRE,51.46391654,51.90970446,52.35327917,52.86205114,53.31130672,53.90876759,54.55053565,55.05626042,55.57784723,56.27169735,56.77355768,57.34667269,57.8263729,58.28387833,58.70456018,59.0688613,59.4721413,59.89966396,60.3043495,60.67412604,60.20996277,59.83625468,60.47033443
PRI,75.977,76.456,76.728,76.874,77.143,77.237,77.415,77.621,77.841,77.877,78.01,78.316,78.461,78.777,78.929,79.695,80.27,79.258,79.77,79.063,78.041,80.162,79.72
PRK,60.763,60.745,60.792,69.546,69.437,69.285,69.085,68.911,68.958,69.732,70.419,70.978,71.626,72.319,72.942,72.784,72.805,72.978,73.031,73.198,73.274,73.284,73.578
PRT,76.31463415,76.81463415,77.06585366,77.2195122,77.67073171,78.07073171,78.4195122,78.32195122,78.52439024,78.72682927,79.02682927,80.47073171,80.37317073,80.72195122,81.12195122,81.12439024,81.12439024,81.42439024,81.32439024,81.67560976,80.97560976,81.37804878,81.5804878
PRY,69.75,69.9,70.025,70.297,70.481,70.527,70.781,71.106,71.384,71.635,71.887,72.131,72.454,72.757,72.878,73.191,73.534,73.644,73.568,73.621,73.182,70.262,70.475
PSE,70.388,69.887,70.969,71.053,71.182,72.067,71.915,72.153,72.413,72.608,73.004,73.243,73.466,74.029,72.622,74.406,74.554,74.833,74.793,75.241,74.403,73.473,73.444
PSS,67.29872896,67.4067016,67.19735556,67.51294611,67.68232018,67.8251693,67.98045092,67.95879773,68.11645238,68.01634061,68.38811925,68.52467142,68.5916774,68.62173762,68.64085736,68.56614177,68.83446495,69.12903147,69.23023112,69.31686502,69.38064136,69.18482102,69.75597139
PST,77.34580083,77.63977303,77.79175781,77.90445624,78.33392584,78.42152646,78.75360764,79.00018244,79.14511756,79.47006756,79.67984537,79.94514197,80.07845823,80.2550033,80.51002885,80.37698747,80.53484319,80.57949806,80.6664898,80.8947718,79.99530336,79.73487414,80.13574426
PYF,79.536,79.685,79.711,79.703,79.696,79.736,79.842,80.02,80.301,80.665,81.039,81.429,81.759,82.017,82.214,82.354,82.488,82.618,82.783,82.996,82.217,79.486,83.55
QAT,74.828,75.263,75.412,75.565,75.961,76.064,76.57,77.016,77.427,77.878,78.425,78.891,79.227,79.536,79.768,80.064,80.433,80.717,80.898,80.99,79.099,79.272,81.559
ROU,71.16341463,71.16097561,71.0097561,71.3097561,71.56097561,71.91219512,72.16341463,72.56585366,72.56585366,73.3097561,73.45853659,74.4097561,74.41219512,75.06341463,74.9097561,74.91219512,75.2097561,75.2097561,75.35853659,75.60731707,74.25365854,72.8097561,75.30487805
RUS,65.48365854,65.38341463,65.12878049,65.02756098,65.47097561,65.5297561,66.72756098,67.58682927,67.94926829,68.68463415,68.84121951,69.68390244,70.07219512,70.57878049,70.74365854,71.18341463,71.65121951,72.45146341,72.66219512,73.08390244,71.33878049,69.9002439,72.54560976
RWA,47.129,49.021,51.032,53.368,55.491,57.316,58.714,59.965,61.134,61.958,62.54,63.261,64.009,64.426,64.94,65.298,65.737,65.941,66.251,66.437,66.774,66.072,67.129
SAS,62.90345292,63.31435878,63.78251054,64.21015504,64.54754221,64.92300469,65.37633776,65.63378137,65.9606723,66.25256706,66.74942063,67.13888399,67.62714115,68.11240221,68.62768368,69.13247365,69.59725083,69.96693328,70.24000795,70.45829266,69.73367367,67.56744256,68.14744131
SAU,72.467,72.974,73.337,73.628,74.153,74.588,74.81,75.046,75.274,75.431,75.763,76.234,76.461,76.626,76.757,76.918,77.064,77.16,77.212,77.304,76.239,76.936,77.905
SDN,58.319,58.562,58.976,58.2,56.773,57.279,60.281,61.256,61.206,62.644,63.016,63.246,63.792,63.678,64.269,64.659,64.78,65.445,65.681,65.876,65.614,65.267,65.578
SEN,56.943,57.564,58.231,59.122,60.027,60.915,61.75,62.543,63.242,63.923,64.615,65.262,65.457,66.072,66.452,66.879,67.497,67.75,68.097,68.526,68.006,67.093,67.913
SGP,77.95121951,78.25121951,78.55121951,79.03902439,79.4902439,79.9902439,80.14146341,80.44146341,80.7902439,81.24146341,81.54146341,81.74390244,81.99512195,82.24634146,82.49512195,82.74390244,82.84634146,83.09512195,83.29756098,83.59512195,83.54390244,83.09268293,82.89512195
SLB,67.225,67.364,67.515,67.644,67.801,67.936,68.09,67.986,68.404,68.466,68.732,68.908,69.084,69.188,69.234,69.583,69.801,69.988,70.173,70.382,70.199,70.348,70.742
SLE,45.05,45.661,46.359,46.963,47.577,48.237,49.323,50.365,51.526,52.626,53.693,54.62,55.451,56.313,56.393,57.189,58.404,58.652,59.796,60.255,59.763,60.062,60.411
SLV,69.865,69.598,70.232,70.14,70.34,70.44,70.773,71.108,71.424,71.576,71.848,71.859,71.831,71.771,71.746,71.814,72.025,72.311,72.555,72.559,71.061,70.748,71.475
SOM,50.66,50.74,50.731,50.614,50.538,50.661,50.597,50.515,51.12,51.853,50.563,51.304,53.161,53.843,54.277,54.857,55.044,55.654,56.375,57.078,55.967,55.28,56.107
SRB,71.58292683,72.23414634,72.28536585,72.43658537,72.68292683,72.83414634,73.38536585,73.63170732,73.88536585,73.98536585,74.33658537,74.53658537,74.83658537,75.18536585,75.33658537,75.28780488,75.68780488,75.53902439,75.8902439,75.93658537,74.47804878,72.7804878,75.48219512
SSA,51.26084085,51.53270954,51.88684405,52.35972821,52.8329492,53.44341082,54.19452582,54.82599379,55.42268371,56.19087458,56.81636262,57.525728,58.1057869,58.63119349,59.10462527,59.52207912,60.02587082,60.43632216,60.82499601,61.20993279,60.82025395,60.21796752,60.74285238
SSD,46.028,46.881,47.492,50.253,50.917,51.545,52.016,52.856,53.538,53.891,54.812,54.94,55.865,55.751,54.973,55.566,55.544,55.309,55.95,55.912,55.48,54.975,55.567
SSF,51.26340383,51.53523071,51.88908093,52.36182146,52.83510475,53.44539689,54.19642869,54.82788512,55.42450578,56.1925689,56.8180063,57.52717329,58.1072979,58.6325353,59.10591832,59.52342521,60.02715532,60.4375514,60.82604353,61.21103271,60.82163664,60.21905857,60.74413053
SST,67.22204974,67.41613633,67.50963689,67.70451191,67.98670408,68.28448295,68.59855024,68.95994166,69.32661563,69.69524293,70.17495585,70.47515023,70.8031486,71.1510505,71.4404399,71.72986526,72.05968378,72.41873615,72.62489477,72.73497347,72.53141733,71.65769343,72.18306868
STP,61.655,62.032,62.6,63.166,63.731,63.709,64.398,64.724,65.079,65.116,65.249,64.902,65.746,66.328,66.845,67.249,67.492,68.267,68.355,68.523,67.785,67.591,68.794
SUR,65.508,65.482,65.531,65.596,66.416,67.002,67.571,68.204,68.816,69.505,69.894,69.914,69.764,69.682,69.782,70.8,71.592,72.417,72.553,72.242,72.561,70.274,70.289
SVK,73.05121951,73.40243902,73.60487805,73.60487805,73.95853659,73.90487805,74.20487805,74.20731707,74.70487805,74.9097561,75.11219512,75.95853659,76.1097561,76.41219512,76.81219512,76.56341463,77.16585366,77.16585366,77.26585366,77.66585366,76.86585366,74.61463415,77.06585366
SVN,75.41219512,75.75853659,76.00731707,76.85853659,77.20731707,77.61219512,78.08658537,78.56097561,78.76585366,78.97073171,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878,80.77560976,81.17560976,81.02926829,81.37804878,81.52926829,80.53170732,80.67560976,81.28292683
SWE,79.64390244,79.79512195,79.84634146,80.09512195,80.49756098,80.54634146,80.74878049,80.9,81.1,81.35121951,81.45121951,81.80243902,81.70487805,81.95609756,82.25365854,82.20487805,82.30731707,82.4097561,82.55853659,83.1097561,82.35609756,83.05609756,83.1097561
SWZ,47.256,45.975,44.486,43.349,42.538,42.125,43.12,43.641,44.175,44.639,46.619,48.195,49.835,51.486,53.05,55.019,56.659,57.895,59.411,60.549,59.692,57.066,56.36
SXM,74.514,74.522,74.858,74.148,74.24,75.542,75.926,75.417,75.742,75.441,75.132,74.684,74.608,74.917,76.773,76.954,76.598,75.03,75.131,75.437,74.584,73.972,74.409
SYC,72.77804878,73.25365854,71.08780488,71.02926829,72.66097561,72.13170732,72.21707317,73.14390244,73.16341463,73.08292683,73.19756098,72.72439024,74.27560976,73.1195122,73.22926829,74.29512195,74.3097561,74.3,72.84146341,74.04634146,77.23658537,73.39756098,73.84878049
SYR,70.764,71.644,71.939,72.414,72.475,72.769,73.35,73.709,73.551,73.853,73.881,73.305,66.769,63.827,63.153,65.124,65.993,68.481,70.145,71.822,72.14,72.063,72.3
TCA,73.575,74.131,75.54,75.411,76.786,77.148,76.831,75.914,76.632,77.164,76.243,76.195,77.037,77.018,77.135,76.912,76.864,76.702,76.443,75.326,75.001,74.587,74.925
TCD,47.443,47.85,47.946,48.206,48.232,48.312,48.286,48.751,49.024,49.196,49.584,50.009,50.54,50.781,51.202,51.589,52.083,52.308,52.825,53.259,52.777,52.525,52.997
TEA,70.6848209,71.28042485,71.63078459,71.97170862,72.05053771,72.58974643,72.94828718,73.19688493,73.14552341,73.69262343,73.91253048,74.17862844,74.42122461,74.66342342,74.91702478,75.14116431,75.34237516,75.40575494,75.82584698,76.02748256,75.95910284,75.56088498,76.19998558
TEC,68.38548588,68.56119046,68.65567751,68.77705561,69.11345701,69.20044629,69.78372183,70.24416517,70.54765517,71.09445726,71.41053482,71.88100237,72.25373396,72.68807171,72.90137054,73.11891945,73.43418637,73.86018971,74.02839964,74.32279005,72.68110634,71.99940787,73.91372084
TGO,54.742,54.86,55.311,55.639,55.569,55.962,56.222,56.511,56.695,57.011,57.304,57.925,58.073,58.684,58.853,59.396,59.55,60.154,60.244,60.901,61.035,61.619,61.588
THA,72.316,72.613,72.93,73.155,73.08,73.82,74.938,75.187,75.492,75.842,76.131,76.421,76.772,77.083,77.415,77.717,78.049,78.394,78.662,78.975,79.274,78.715,79.68
TJK,63.26,64.057,64.846,65.552,66.028,66.514,67.013,67.217,67.688,68.039,67.742,68.148,68.484,68.885,69.069,69.306,69.549,69.905,70.353,70.867,67.994,71.594,71.288
TKM,65.026,65.156,65.385,65.746,66.075,66.068,66.499,66.895,67.407,67.958,68.293,68.567,68.722,68.74,68.614,68.782,68.777,68.916,68.796,69.002,68.687,69.264,69.41
TLA,71.09305122,71.35135245,71.70749666,71.89341073,72.22105897,72.59884412,72.81093792,72.95299725,73.17845524,73.38642732,73.27633568,73.77264235,74.00314933,74.25605554,74.4644587,74.52552371,74.49074102,74.65645914,74.77591785,74.97015074,72.91769893,72.06442813,73.64133708
TLS,58.568,59.362,60.148,60.871,61.628,62.328,63.073,63.723,64.329,64.854,65.304,65.697,66.081,66.44,66.787,67.137,67.446,67.745,68.017,68.268,68.475,67.737,69.056
TMN,68.60985697,68.94938948,69.29348723,69.11102247,69.59808725,69.87678383,70.07037027,70.40638937,70.65862113,70.9934731,71.24436229,71.48997173,71.34454693,71.36527258,71.6710853,71.91730044,72.18456068,72.69003056,72.89315091,73.04728526,72.07890188,71.80307689,72.19581881
TON,68.978,69.127,69.335,69.495,69.67,69.768,69.894,70.048,70.164,70.012,70.323,70.381,70.442,70.505,70.54,70.607,70.661,70.713,70.779,70.871,70.928,70.986,71.27
TSA,62.90345292,63.31435878,63.78251054,64.21015504,64.54754221,64.92300469,65.37633776,65.63378137,65.9606723,66.25256706,66.74942063,67.13888399,67.62714115,68.11240221,68.62768368,69.13247365,69.59725083,69.96693328,70.24000795,70.45829266,69.73367367,67.56744256,68.14744131
TSS,51.26340383,51.53523071,51.88908093,52.36182146,52.83510475,53.44539689,54.19642869,54.82788512,55.42450578,56.1925689,56.8180063,57.52717329,58.1072979,58.6325353,59.10591832,59.52342521,60.02715532,60.4375514,60.82604353,61.21103271,60.82163664,60.21905857,60.74413053
TTO,69.102,69.646,70.488,69.729,71.076,71.308,71.256,71.652,71.47,73.126,72.725,73.278,73.716,73.962,74.215,74.503,74.281,74.23,73.802,74.228,74.406,72.971,74.708
TUN,73.69,73.816,74.059,74.305,74.49,74.764,74.921,75.072,75.185,75.267,75.421,75.46,75.55,75.65,75.65,75.692,75.786,75.845,75.95,75.993,75.292,73.772,74.263
TUR,71.861,72.231,72.579,72.89,73.24,73.534,73.845,74.193,74.45,74.765,75.069,74.941,75.678,76.297,76.565,76.646,76.66,77.141,77.563,77.832,75.85,76.032,78.475
TUV,63.499,63.543,63.58,63.631,63.693,63.836,63.928,63.931,63.948,63.949,63.978,63.974,63.964,64.008,64.025,64.06,64.108,64.148,64.212,64.278,64.382,64.547,64.854
TZA,52.362,53.161,53.863,54.895,55.596,56.299,56.911,57.52,58.086,58.894,60.105,61.049,62.03,62.96,63.873,64.651,65.386,65.999,66.535,66.989,66.408,66.201,66.782
UGA,48.342,49.006,49.648,50.368,51.547,52.976,54.369,55.236,55.823,56.488,57.055,57.965,58.817,59.763,60.408,61.086,61.648,62.115,62.714,62.991,62.851,62.705,63.638
UKR,67.67560976,67.83707317,68.27560976,68.21073171,68.18536585,67.95682927,68.07756098,68.22219512,68.25146341,69.19,70.26536585,70.80926829,70.94414634,71.1595122,71.18658537,71.1895122,71.47634146,71.78097561,71.58268293,71.82731707,71.18512195,69.64780488,68.58792683
UMC,70.68001216,71.18401308,71.48954693,71.7264259,71.88759472,72.35769678,72.68898462,72.93752977,73.10739768,73.5143852,73.78313722,74.07316226,74.37606624,74.65410471,74.92497506,75.13178728,75.31160557,75.45615093,75.82321575,76.02510245,75.23685561,74.8743403,75.66529909
URY,75.025,75.285,75.54,75.785,76.007,76.194,76.362,76.498,76.623,76.738,76.858,76.983,77.111,77.24,77.366,77.483,77.571,77.625,77.611,77.508,78.43,75.436,78
USA,76.63658537,76.83658537,76.93658537,77.03658537,77.48780488,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878,76.32926829,77.43414634
UZB,65.724,66.087,66.604,67.04,67.401,67.49,67.891,68.292,68.765,68.871,69.235,69.649,69.874,69.99,70.234,70.475,70.755,71.01,71.149,71.344,70.331,70.862,71.674
VCT,71.377,71.938,72.168,72.352,73.035,73.516,74.017,74.703,75.053,75.083,74.718,74.596,74.146,73.798,74.473,74.407,74.28,74.305,74.128,72.835,72.126,69.629,68.972
VEN,72.478,71.201,72.662,71.94,72.514,72.782,72.742,73.058,72.436,72.579,72.89,72.913,73.036,73.196,72.853,73.006,72.058,71.943,71.979,72.161,71.095,70.554,71.105
VGB,73.966,73.846,73.891,73.986,74.251,74.723,74.88,75.039,75.007,75.26,75.428,75.486,75.532,75.574,75.612,75.675,75.724,74.785,75.831,75.863,75.849,74.494,76.373
VIR,76.6195122,77.62195122,77.52195122,77.52195122,77.77317073,77.42195122,78.32439024,76.86341463,77.16341463,77.51463415,77.86585366,78.31707317,78.51707317,78.71707317,78.86829268,79.01707317,79.16829268,79.36829268,79.5195122,79.66829268,79.8195122,80.06829268,80.3195122
VNM,72.462,72.647,72.801,72.98,73.135,73.271,73.319,73.436,73.411,73.498,73.513,73.692,73.704,73.775,73.855,73.876,73.938,73.963,73.976,74.093,75.378,73.618,74.58
VUT,68.966,69.037,69.196,69.276,69.313,69.39,69.462,69.544,69.602,69.653,69.617,69.551,69.497,69.534,69.465,69.513,69.65,69.71,69.795,69.877,70.299,70.449,70.492
WLD,67.66752217,68.01823914,68.29891891,68.57179957,68.82487369,69.16026957,69.53180313,69.79352812,69.96302828,70.35630139,70.62465121,70.96113206,71.23726303,71.52976453,71.83314546,72.04708691,72.29790642,72.49541239,72.73511579,72.93103383,72.1974598,71.28061168,71.94871674
WSM,70.746,71.019,71.276,71.496,71.696,71.754,72.021,72.1,72.155,70.066,72.249,72.26,72.167,72.391,72.463,72.515,72.54,72.59,72.636,72.157,72.768,72.767,72.598
XKX,74.072,74.394,74.676,74.968,75.304,75.616,75.636,76.516,77.392,77.665,77.63,77.74,78.28,78.587,78.88,78.922,78.981,78.783,78.696,79.022,76.567,76.806,79.524
YEM,62.588,63.222,63.906,64.541,65.006,65.543,65.988,66.565,66.963,67.196,67.28,67.419,67.343,67.545,67.384,65.873,66.064,65.957,64.575,65.092,64.65,63.753,63.72
ZAF,58.47,57.261,55.666,54.331,54.043,53.98,54.278,54.992,56.022,57.447,58.899,60.651,61.846,62.533,63.38,63.95,64.747,65.402,65.674,66.175,65.252,62.341,61.48
ZMB,45.231,46.019,46.979,48.284,49.487,50.659,51.795,52.739,53.945,55.3,56.799,57.771,58.867,59.878,60.699,61.208,61.794,62.12,62.342,62.793,62.38,61.223,61.803
ZWE,44.686,41.957,44.565,43.393,44.502,44.768,45.364,45.61,46.723,48.063,50.652,53.347,55.626,57.458,58.846,59.591,60.306,60.709,61.414,61.292,61.124,59.253,59.391
